Id,Nome,Data de Aproximação,Diâmetro Mínimo (km),Diâmetro Máximo (km),Velocidade (m/s),Distância da Terra (km),Categoria Diâmetro,Categoria Proximidade,Potencialmente Perigoso,Tipo de Órbita
54145574,(2021 JK7),2021-05-22,0.0356906927,0.079806815,22318.918824365806,7281057.241384579,Pequeno,Distante,False,APO
54146076,(2021 JY9),2021-05-22,0.0117099483,0.0261842403,7981.991903564612,1469946.471531311,Pequeno,Próximo,False,APO
54146681,(2021 KW),2021-05-22,0.0073884779,0.0165211388,15523.825397910194,763057.311219797,Pequeno,Muito Próximo,False,APO
54147751,(2021 KH2),2021-05-22,0.0229379698,0.0512908597,6433.705995387555,940954.490609401,Pequeno,Muito Próximo,False,APO
54216276,(2021 VA2),2021-05-22,0.0256185754,0.0572848762,15070.775611934112,37312976.130118884,Pequeno,Distante,False,ATE
54407409,(2023 WU1),2021-05-22,0.0511157782,0.1142983547,19631.9136167225,30393074.760375377,Médio,Distante,False,APO
2004544,4544 Xanthus (1989 FB),2021-05-23,0.8882904164,1.9862777548,13334.7066085095,37177070.53428595,Grande,Distante,False,APO
2369452,369452 (2010 LG14),2021-05-23,0.7023522477,1.57050737,27862.53106120511,56598005.263383344,Grande,Distante,False,APO
3566360,(2011 KB),2021-05-23,0.0253837029,0.0567596853,23740.0367790332,69702623.24319641,Pequeno,Distante,False,ATE
3711174,(2015 DD155),2021-05-23,0.1053307015,0.2355266087,4809.3614825069435,52520400.80197146,Médio,Distante,False,AMO
3727180,(2015 RE36),2021-05-23,0.1015207872,0.2270073813,9760.929601004695,31487912.54644816,Médio,Distante,False,APO
3735180,(2015 VM142),2021-05-23,0.0334622374,0.0748238376,15549.824917484111,50721115.41250385,Pequeno,Distante,False,APO
3765707,(2016 XF18),2021-05-23,0.040230458,0.0899580388,10061.865753209502,32978157.384487864,Pequeno,Distante,False,APO
3771633,(2017 FZ2),2021-05-23,0.0127219879,0.0284472297,7597.850649613445,34939525.82786929,Pequeno,Distante,False,APO
3989185,(2020 BF8),2021-05-23,0.0058150704,0.0130028927,7305.186055219388,25829646.159730483,Pequeno,Distante,False,ATE
54006020,(2020 DO4),2021-05-23,0.008405334,0.0187948982,18262.821101400696,62298949.51388631,Pequeno,Distante,False,ATE
54136201,(2021 GQ6),2021-05-23,0.1838886721,0.411187571,10715.479072108194,40748266.57850729,Médio,Distante,False,APO
54145074,(2021 JJ5),2021-05-23,0.0246919266,0.0552128263,8684.330493952777,5012349.817628004,Pequeno,Distante,False,APO
54146673,(2021 KO),2021-05-23,0.0143401923,0.0320656449,7992.840576629362,4765421.867990286,Pequeno,Próximo,False,APO
54146685,(2021 KC1),2021-05-23,0.0171614894,0.0383742569,7580.94478699761,6141316.562566846,Pequeno,Distante,False,AMO
54147132,(2021 KL1),2021-05-23,0.0087207729,0.019500241,10842.5567275975,1230443.797211256,Pequeno,Próximo,False,APO
54151571,(2021 KW2),2021-05-23,0.0092588058,0.0207033192,6671.859236026971,639690.724614308,Pequeno,Muito Próximo,False,APO
54152395,(2021 LF),2021-05-23,0.1487835705,0.3326901775,32243.98559526089,29321676.462247167,Médio,Distante,False,APO
3092233,(1999 SJ10),2021-05-24,0.2927891485,0.6546964391,19417.668084474306,58404521.15174186,Grande,Distante,False,APO
3389197,(2007 UY1),2021-05-24,0.063760979,0.1425738833,7044.568751882194,34209707.93666095,Médio,Distante,False,ATE
3667491,(2014 GD50),2021-05-24,0.2550086879,0.5702167609,21732.051862259,12152149.345064018,Grande,Distante,False,APO
3702705,(2014 YR),2021-05-24,0.191670368,0.428587972,17944.189115976307,32118038.71628423,Médio,Distante,False,APO
3740929,(2016 BW14),2021-05-24,0.0183888672,0.0411187571,7926.043500929417,42524770.426422365,Pequeno,Distante,False,ATE
3788026,(2017 UG5),2021-05-24,0.0146067964,0.0326617897,8932.99873584411,36591120.106828116,Pequeno,Distante,False,ATE
54054459,(2020 RS9),2021-05-24,0.04411182,0.0986370281,12213.458105446694,66084459.91546327,Pequeno,Distante,False,ATE
